id;name;description;logo;binder;website;contact_persion;telephone;mobile;email;address;street_address;county;country;pin_number;status
1;Architect;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;SCSI Aruba Chair;378-499-1357 x339;generating bypassing Bypass;Brett5@yahoo.com;SMS;Zimbabwe parse Customer;input Accounts;Svalbard & Jan Mayen Islands;37785;INACTIVE
2;Concrete;mission-critical white SMTP;Checking Account global Steel;Borders Springs connecting;SAS;Planner Refined;451.404.7766 x7829;Checking Account;Felicita_Mohr@hotmail.com;Jamaica Unbranded;real-time Berkshire solid state;middleware Switzerland;Peru;94952;ACTIVE
3;Practical Steel Chips;Berkshire concept;Illinois robust;Granite Rubber;enable;deposit Chicken best-of-breed;(845) 691-6120 x81323;Movies;Blaze.Lesch@yahoo.com;Regional;Bedfordshire;alliance Licensed Plaza;Panama;8175;INACTIVE
4;Home;primary quantify Chips;Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;feed;(857) 501-8435 x32127;Chair Kentucky;Cory53@hotmail.com;Total;Investment Account Indian Rupee;withdrawal Club Nebraska;Russian Federation;58684;INACTIVE
5;empower;customized payment;Grass-roots Cambridgeshire;Personal Loan Account;Music;Pants;418-102-8108;Small Andorra infomediaries;Zion.Bruen57@hotmail.com;Human Jewelery Engineer;Fish Tanzanian Shilling;hard drive Mexico Gardens;Sri Lanka;76949;ACTIVE
6;system;Buckinghamshire;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;Applications;Montenegro;(334) 150-5923;primary Customer-focused UAE Dirham;Beulah.Mertz@hotmail.com;users scalable;transmitting parse infrastructures;matrix Implementation Shirt;Bahrain;92644;INACTIVE
7;indigo Bacon Mouse;Programmable payment National;HDD;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;355.092.6514;migration array Belize Dollar;Peggie.Thiel@gmail.com;reboot South Carolina;Cheese orchestration Robust;Steel salmon application;Lesotho;87676;ACTIVE
8;Creek Investment Account Buckinghamshire;Shoes Intuitive;synthesize Baby Credit Card Account;Portugal Persistent;hacking Interactions;Idaho strategize;(296) 195-1516 x207;Personal Loan Account Awesome International;Theodore_Bahringer15@hotmail.com;Maine Checking Account markets;Unbranded programming District;Concrete;Western Sahara;16552;INACTIVE
9;Czech Republic;Investment Account streamline;sticky neural Kids;Cotton relationships;Chief web-enabled interactive;District Idaho Grocery;1-121-541-4093 x37526;Electronics;Jordon_Daugherty45@yahoo.com;Massachusetts;Awesome Officer Bedfordshire;application scale;Israel;20990;ACTIVE
10;grow;New Jersey Gorgeous Soft Fish Mountain;Japan Knoll;Rhode Island Computer;user-centric;Mobility;228.654.8091;bus withdrawal Toys;Deontae67@gmail.com;Kids Incredible;Florida THX Idaho;Licensed Visionary pixel;Swaziland;80685;ACTIVE
